Address,Postcode,KT1/KT2,Sale_price,Bedrooms,House_type,Freehold/leasehold,Res_new/old,Stationdist_miles,Sale_date,Sale_year,Sale_month,Latitude,Longitude,Easting,Northing,Ward,Introduced,Altitude
"132, Tudor Drive",KT2 5QG,KT2,575000,3,Terraced,Freehold,Residential,1.0,15-Aug-14,2014,8,51.426965,-0.299221,518341,171145,Tudor,01-1980,11
"150, Tudor Drive",KT2 5QG,KT2,590000,3,Semi-Detached,Freehold,Residential,1.0,30-Jan-15,2015,1,51.426965,-0.299221,518341,171145,Tudor,01-1980,11
"156, Tudor Drive",KT2 5QG,KT2,630000,3,Terraced,Freehold,Residential,1.0,21-Apr-17,2017,4,51.426965,-0.299221,518341,171145,Tudor,01-1980,11
"144, Tudor Drive",KT2 5QG,KT2,750000,4,Terraced,Freehold,Residential,1.0,13-Nov-18,2018,11,51.426965,-0.299221,518341,171145,Tudor,01-1980,11
"146, Tudor Drive",KT2 5QG,KT2,570000,3,Terraced,Freehold,Residential,1.0,16-Mar-15,2015,3,51.426965,-0.299221,518341,171145,Tudor,01-1980,11
"130, Tudor Drive",KT2 5QG,KT2,730000,4,Terraced,Freehold,Residential,1.0,25-Aug-15,2015,8,51.426965,-0.299221,518341,171145,Tudor,01-1980,11
"126, Tudor Drive",KT2 5QG,KT2,805000,4,Terraced,Freehold,Residential,1.0,13-Jun-18,2018,6,51.426965,-0.299221,518341,171145,Tudor,01-1980,11
"158, Tudor Drive",KT2 5QG,KT2,645000,3,Terraced,Freehold,Residential,1.0,02-Dec-16,2016,12,51.426965,-0.299221,518341,171145,Tudor,01-1980,11
"198, Tudor Drive",KT2 5QH,KT2,835000,4,Semi-Detached,Freehold,Residential,0.9,12-Dec-16,2016,12,51.425944,-0.296404,518539,171036,Tudor,01-1980,11
"236, Tudor Drive",KT2 5QJ,KT2,315000,2,Flat,Leasehold,Residential,0.9,25-Jun-15,2015,6,51.425391,-0.29423,518692,170978,Tudor,01-1980,11
"254, Tudor Drive",KT2 5QJ,KT2,325000,2,Flat,Leasehold,Residential,0.9,29-Nov-16,2016,11,51.425391,-0.29423,518692,170978,Tudor,01-1980,11
"256, Tudor Drive",KT2 5QJ,KT2,329950,2,Flat,Leasehold,Residential,0.9,29-Aug-14,2014,8,51.425391,-0.29423,518692,170978,Tudor,01-1980,11
"220, Tudor Drive",KT2 5QJ,KT2,290000,2,Flat,Leasehold,Residential,0.9,29-Jan-16,2016,1,51.425391,-0.29423,518692,170978,Tudor,01-1980,11
"302, Tudor Drive",KT2 5QL,KT2,675000,4,Semi-Detached,Freehold,Residential,0.9,23-Sep-14,2014,9,51.424861,-0.29238800000000004,518821,170922,Tudor,01-1980,11
"9, Dukes Avenue",KT2 5QR,KT2,837500,6,Terraced,Freehold,Residential,1.1,29-Aug-17,2017,8,51.430664,-0.30932,517629,171540,Tudor,12-1995,10
"13, Dukes Avenue",KT2 5QR,KT2,775000,4,Terraced,Freehold,Residential,1.1,15-Sep-17,2017,9,51.430664,-0.30932,517629,171540,Tudor,12-1995,10
"6, Dukes Avenue",KT2 5QY,KT2,626150,3,Semi-Detached,Freehold,Residential,1.1,05-Oct-18,2018,10,51.431053000000006,-0.30885999999999997,517660,171584,Tudor,01-1980,10
"28, Dukes Avenue",KT2 5QY,KT2,650000,3,Semi-Detached,Freehold,Residential,1.1,28-May-15,2015,5,51.431053000000006,-0.30885999999999997,517660,171584,Tudor,01-1980,10
"9, Dysart Avenue",KT2 5QZ,KT2,857000,4,Semi-Detached,Freehold,Residential,1.0,22-Oct-14,2014,10,51.430791,-0.3113,517491,171551,Tudor,01-1980,9
"23, Dysart Avenue",KT2 5QZ,KT2,765000,3,Semi-Detached,Freehold,Residential,1.0,15-Feb-16,2016,2,51.430791,-0.3113,517491,171551,Tudor,01-1980,9
"11, Dysart Avenue",KT2 5QZ,KT2,775000,3,Semi-Detached,Freehold,Residential,1.0,15-Jun-16,2016,6,51.430791,-0.3113,517491,171551,Tudor,01-1980,9
"60, Dysart Avenue",KT2 5RA,KT2,700000,4,Semi-Detached,Freehold,Residential,0.9,25-Apr-14,2014,4,51.429504,-0.31249899999999997,517411,171406,Tudor,01-1980,10
"57, Dysart Avenue",KT2 5RA,KT2,810570,3,Semi-Detached,Freehold,Residential,0.9,13-Jul-16,2016,7,51.429504,-0.31249899999999997,517411,171406,Tudor,01-1980,10
